Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (evaluations),Tuition fees up to date,Curricular units 1st sem (evaluations),Admission grade,Course,Age at enrollment,Previous qualification (grade),Father's occupation,Application mode,Mother's occupation,Curricular units 2nd sem (enrolled),GDP,Curricular units 1st sem (enrolled),Mother's qualification,Father's qualification,Scholarship holder,Target_binary
2,11.0,5,10.666666666666666,11,1,8,118.8,9147,22,130.0,9,1,9,5,-4.06,5,37,37,1,0
4,12.4,5,10.875,8,1,10,122.4,9147,19,135.0,5,1,5,5,0.79,5,1,38,0,0
0,0.0,0,0.0,0,1,0,152.0,9991,27,130.0,4,39,3,5,3.51,5,19,1,0,1
0,0.0,0,0.0,0,1,0,127.3,171,20,122.0,9,17,5,0,1.74,0,19,12,0,1
5,12.666666666666666,5,13.6,8,1,7,122.2,9773,19,125.0,4,1,5,6,-4.06,6,1,1,0,0
3,11.0,2,14.0,7,1,10,135.9,9119,18,131.0,1,1,4,5,0.32,5,3,1,0,0
5,11.6,5,12.6,7,1,5,146.4,9085,18,140.0,2,1,2,5,0.32,5,3,3,0,0
6,13.666666666666666,6,11.666666666666666,6,1,6,120.0,8014,42,110.0,9,39,7,6,1.74,6,37,37,0,0
5,12.56,5,12.56,8,0,8,114.0,9500,31,100.0,90,39,1,7,0.32,7,19,1,0,1
5,11.2,4,13.75,8,1,13,133.3,9670,18,141.0,2,43,2,6,0.79,6,3,2,0,0
7,12.842857142857143,6,12.783333333333331,9,1,9,122.2,9500,20,133.0,1,1,9,8,0.79,7,19,1,0,0
6,13.285714285714286,6,14.0,7,1,8,128.0,9670,18,142.0,4,1,4,6,2.02,6,1,19,1,0
0,0.0,0,0.0,0,1,0,130.0,9085,34,130.0,10,7,9,6,-4.06,6,1,19,0,1
8,13.744444444444444,7,13.44285714285714,9,1,7,126.8,9500,18,141.0,3,1,4,8,-0.92,7,1,37,0,0
0,0.0,0,0.0,0,1,0,111.9,9070,19,108.0,3,17,4,6,3.51,6,19,1,0,1
